"ID","Title","Case ID","Comment","Defects","Plan","Status","Tested By"
"T97373602","Miniplayer Fixed Volume Control","C35018510","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373337","Play Progress indicator in Miniplayer","C34234255","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373567","Miniplayer battery icons","C34887456","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373302","System View manual group selection","C33835312","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373342","System View displays correct group state","C34238485","Bypassed with Minor bug: PMA-18472: [Both] Histogram still shows in Miniplayer even when the TV source is paused

Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a

","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373318","System View Playback and Output Selector buttons (non Home Theater)","C33838696","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373351","System View activity cells shows correct metadata and partner attribution","C34268936","PMA-19081: [Android] [Airplay] Missing the Explicit badge on Miniplayer, System view and Output picker

Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a

","PMA-19081","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Failed","Trang Nguyen."
"T97373350","System View interaction gestures","C34268935","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373321","System View shows correct group names","C33840279","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373338","System View shows correct Group Coordinator","C34237897","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373336","System View shows/hides depending if players are available in the household. (Power Off Player)","C34234253","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373364","System View Volume Control","C34363106","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373365","System View Fixed Volume Control","C34363230","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a

","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373603","Play Progress indicator in System View","C35018511","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373319","Now Playing Playback Button","C33838697","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373266","Now Playing shows correct metadata","C33717188","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373356","Now Playing shows correct attribution","C34353670","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373270","Now Playing volume control (Single Group)","C33768918","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373604","Now Playing Volume Control (Group Volume)","C35047081","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373359","Now Playing Fixed Volume","C34353673","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373273","Track Skipping (including shuffle)","C33817217","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373271","Track Skipping (Repeat / Repeat All)","C33769315","Bypassed with Minor bug: PMA-18839 - [Both] Music playback does not cycle to the last track in the queue after tapping on the Previous button before 3 seconds elapsed on the first track

Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a

","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373352","Now Playing Track Progress","C34269049","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373353","Now Playing Track Seeking","C34269051","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373357","Now Playing Like/Dislike buttons","C34353671","Bypassed with Minor bug: PMA-10579 [Both] SPIKE: Figure out how to handle when we don't get a ratings response back in time

Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373358","Now Playing Badging","C34353672","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373410","Now Playing Home Theater","C34375770","Bypassed with Minor bug: PMA-20618: [Android] Background color of """"Night Sound"""" and """"Speech Enhancement"""" buttons is inconsistent when in ON state

Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a

","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373392","Now Playing Line-in","C34375300","Bypassed with Minor bug: PMA-19131: [Android] 'Previous track' button is enable when playing Station/Live station/Line-in

Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a

","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373403","Now Playing background color","C34375342","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373569","Now Playing battery icons","C34887459","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373601","Now Playing - Single player household","C35010951","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373585","Sleep Timer stops the music after a short set duration (15 minutes)","C34978483","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373586","Sleep Timer stops the music after a long set duration (1 hour)","C34978486","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373587","Sleep Timer Off Mode","C34978488","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373588","Sleep Timer Interruption","C34978491","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373589","Sleep Timer activated from voice assistants","C34978806","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373590","Sleep Timer deactivated from voice assistants","C34978819","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373591","Sleep Timer accessibility support","C34978827","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373592","Sleep Timer error case","C34978863","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373593","Sleep Timer duration appears in More Menu and Sleep Timer menu after being set","C34978864","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373594","Sleep Timer duration expires while content is paused/stopped","C34978884","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373339","Bringing up the Output Picker","C34238465","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373345","Output Picker Button (Now Playing)","C34262421","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373340","Output Picker displays all available players/groups","C34238480","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373343","Output Picker Volume control (single player group)","C34255454","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373391","Output Picker Volume control (multi player group)","C34375237","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373344","Output Picker Battery Status","C34255564","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373404","Output Picker product name subtitle","C34375700","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373448","Output Picker Light/Dark Mode","C34377613","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373498","Output Picker - Deselecting last available player in list","C34381351","This flow is out of date","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Not Applicable","Trang Nguyen."
"T97373568","Output Picker battery icons","C34887458","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373605","Error State - Mismatched player versions","C35053674","Unable to setup HH that has mismatched player versions on the current build","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Blocked","Trang Nguyen."
"T97373346","Accessing the Queue","C34267365","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373607","Hiding of the Queue","C35070613","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373609","Queue Shuffle / Repeat / Track selection","C35070615","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373347","Reordering items in / Editing the Queue","C34267366","Bypassed with Minor bug: PMA-17453: [Android] Histogram in Queue briefly shows on incorrect track after a delete and reorder but corrects itself

Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373349","Deleting items in the Queue","C34268551","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373348","Clearing the Queue","C34268539","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373608","Spotify Direct Control Queue","C35070614","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373449","Queue Light/Dark Mode","C34377616","Samsung Galaxy S23 (Android 14)
CR: 80.20.4 - 2025 App 3 - beta (Android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Vu Nguyen"
"T97373459","Default Signed Out Home Feed State (Guest Mode)","C34381153","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373460","Signed In Home Feed State","C34381154","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373461","Reordering Home Feed Sections","C34381155","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373611","Create New Sonos Playlist from a Track","C35106640","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373612","Create New Sonos Playlist from an Album","C35106699","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373613","Create New Sonos Playlist from an Episode","C35106700","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373614","Radio Stations Cannot Be Added to Sonos Playlists","C35106701","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373615","Add a Track to an Existing Sonos Playlist","C35106702","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373616","Add an Album to an Existing Sonos Playlist","C35106703","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373617","Add a Playlist to an Existing Sonos Playlist","C35106704","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373618","Deleting Sonos Playlists","C35106705","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373619","Deleting Items Within A Sonos Playlists","C35106707","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373620","Renaming A Sonos Playlists","C35106708","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
